#
# This file contains the first 61158 Unicode characters. It can be used to inspect the coverage of fonts
#
\u0020 #  
\u9108 # 鄈
\u9109 # 鄉
\u910A # 鄊
\u910B # 鄋
\u910C # 鄌
\u910D # 鄍
\u910E # 鄎
\u910F # 鄏
\u9110 # 鄐
\u9111 # 鄑
\u9112 # 鄒
\u9113 # 鄓
\u9114 # 鄔
\u9115 # 鄕
\u9116 # 鄖
\u9117 # 鄗
\u9118 # 鄘
\u9119 # 鄙
\u911A # 鄚
\u911B # 鄛
\u911C # 鄜
\u911D # 鄝
\u911E # 鄞
\u911F # 鄟
\u9120 # 鄠
\u9121 # 鄡
\u9122 # 鄢
\u9123 # 鄣
\u9124 # 鄤
\u9125 # 鄥
\u9126 # 鄦
\u9127 # 鄧
\u9128 # 鄨
\u9129 # 鄩
\u912A # 鄪
\u912B # 鄫
\u912C # 鄬
\u912D # 鄭
\u912E # 鄮
\u912F # 鄯
\u9130 # 鄰
\u9131 # 鄱
\u9132 # 鄲
\u9133 # 鄳
\u9134 # 鄴
\u9135 # 鄵
\u9136 # 鄶
\u9137 # 鄷
\u9138 # 鄸
\u9139 # 鄹
\u913A # 鄺
\u913B # 鄻
\u913C # 鄼
\u913D # 鄽
\u913E # 鄾
\u913F # 鄿
\u9140 # 酀
\u9141 # 酁
\u9142 # 酂
\u9143 # 酃
\u9144 # 酄
\u9145 # 酅
\u9146 # 酆
\u9147 # 酇
\u9148 # 酈
\u9149 # 酉
\u914A # 酊
\u914B # 酋
\u914C # 酌
\u914D # 配
\u914E # 酎
\u914F # 酏
\u9150 # 酐
\u9151 # 酑
\u9152 # 酒
\u9153 # 酓
\u9154 # 酔
\u9155 # 酕
\u9156 # 酖
\u9157 # 酗
\u9158 # 酘
\u9159 # 酙
\u915A # 酚
\u915B # 酛
\u915C # 酜
\u915D # 酝
\u915E # 酞
\u915F # 酟
\u9160 # 酠
\u9161 # 酡
\u9162 # 酢
\u9163 # 酣
\u9164 # 酤
\u9165 # 酥
\u9166 # 酦
\u9167 # 酧
\u9168 # 酨
\u9169 # 酩
\u916A # 酪
\u916B # 酫
\u916C # 酬
\u916D # 酭
\u916E # 酮
\u916F # 酯
\u9170 # 酰
\u9171 # 酱
\u9172 # 酲
\u9173 # 酳
\u9174 # 酴
\u9175 # 酵
\u9176 # 酶
\u9177 # 酷
\u9178 # 酸
\u9179 # 酹
\u917A # 酺
\u917B # 酻
\u917C # 酼
\u917D # 酽
\u917E # 酾
\u917F # 酿
\u9180 # 醀
\u9181 # 醁
\u9182 # 醂
\u9183 # 醃
\u9184 # 醄
\u9185 # 醅
\u9186 # 醆
\u9187 # 醇
\u9188 # 醈
\u9189 # 醉
\u918A # 醊
\u918B # 醋
\u918C # 醌
\u918D # 醍
\u918E # 醎
\u918F # 醏
\u9190 # 醐
\u9191 # 醑
\u9192 # 醒
\u9193 # 醓
\u9194 # 醔
\u9195 # 醕
\u9196 # 醖
\u9197 # 醗
\u9198 # 醘
\u9199 # 醙
\u919A # 醚
\u919B # 醛
\u919C # 醜
\u919D # 醝
\u919E # 醞
\u919F # 醟
\u91A0 # 醠
\u91A1 # 醡
\u91A2 # 醢
\u91A3 # 醣
\u91A4 # 醤
\u91A5 # 醥
\u91A6 # 醦
\u91A7 # 醧
\u91A8 # 醨
\u91A9 # 醩
\u91AA # 醪
\u91AB # 醫
\u91AC # 醬
\u91AD # 醭
\u91AE # 醮
\u91AF # 醯
\u91B0 # 醰
\u91B1 # 醱
\u91B2 # 醲
\u91B3 # 醳
\u91B4 # 醴
\u91B5 # 醵
\u91B6 # 醶
\u91B7 # 醷
\u91B8 # 醸
\u91B9 # 醹
\u91BA # 醺
\u91BB # 醻
\u91BC # 醼
\u91BD # 醽
\u91BE # 醾
\u91BF # 醿
\u91C0 # 釀
\u91C1 # 釁
\u91C2 # 釂
\u91C3 # 釃
\u91C4 # 釄
\u91C5 # 釅
\u91C6 # 釆
\u91C7 # 采
\u91C8 # 釈
\u91C9 # 釉
\u91CA # 释
\u91CB # 釋
\u91CC # 里
\u91CD # 重
\u91CE # 野
\u91CF # 量
\u91D0 # 釐
\u91D1 # 金
\u91D2 # 釒
\u91D3 # 釓
\u91D4 # 釔
\u91D5 # 釕
\u91D6 # 釖
\u91D7 # 釗
\u91D8 # 釘
\u91D9 # 釙
\u91DA # 釚
\u91DB # 釛
\u91DC # 釜
\u91DD # 針
\u91DE # 釞
\u91DF # 釟
\u91E0 # 釠
\u91E1 # 釡
\u91E2 # 釢
\u91E3 # 釣
\u91E4 # 釤
\u91E5 # 釥
\u91E6 # 釦
\u91E7 # 釧
\u91E8 # 釨
\u91E9 # 釩
\u91EA # 釪
\u91EB # 釫
\u91EC # 釬
\u91ED # 釭
\u91EE # 釮
\u91EF # 釯
\u91F0 # 釰
\u91F1 # 釱
\u91F2 # 釲
\u91F3 # 釳
\u91F4 # 釴
\u91F5 # 釵
\u91F6 # 釶
\u91F7 # 釷
\u91F8 # 釸
\u91F9 # 釹
\u91FA # 釺
\u91FB # 釻
\u91FC # 釼
\u91FD # 釽
\u91FE # 釾
\u91FF # 釿
\u9200 # 鈀
\u9201 # 鈁
\u9202 # 鈂
\u9203 # 鈃
\u9204 # 鈄
\u9205 # 鈅
\u9206 # 鈆
\u9207 # 鈇
\u9208 # 鈈
\u9209 # 鈉
\u920A # 鈊
\u920B # 鈋
\u920C # 鈌
\u920D # 鈍
\u920E # 鈎
\u920F # 鈏
\u9210 # 鈐
\u9211 # 鈑
\u9212 # 鈒
\u9213 # 鈓
\u9214 # 鈔
\u9215 # 鈕
\u9216 # 鈖
\u9217 # 鈗
\u9218 # 鈘
\u9219 # 鈙
\u921A # 鈚
\u921B # 鈛
\u921C # 鈜
\u921D # 鈝
\u921E # 鈞
\u921F # 鈟
\u9220 # 鈠
\u9221 # 鈡
\u9222 # 鈢
\u9223 # 鈣
\u9224 # 鈤
\u9225 # 鈥
\u9226 # 鈦
\u9227 # 鈧
\u9228 # 鈨
\u9229 # 鈩
\u922A # 鈪
\u922B # 鈫
\u922C # 鈬
\u922D # 鈭
\u922E # 鈮
\u922F # 鈯
\u9230 # 鈰
\u9231 # 鈱
\u9232 # 鈲
\u9233 # 鈳
\u9234 # 鈴
\u9235 # 鈵
\u9236 # 鈶
\u9237 # 鈷
\u9238 # 鈸
\u9239 # 鈹
\u923A # 鈺
\u923B # 鈻
\u923C # 鈼
\u923D # 鈽
\u923E # 鈾
\u923F # 鈿
\u9240 # 鉀
\u9241 # 鉁
\u9242 # 鉂
\u9243 # 鉃
\u9244 # 鉄
\u9245 # 鉅
\u9246 # 鉆
\u9247 # 鉇
\u9248 # 鉈
\u9249 # 鉉
\u924A # 鉊
\u924B # 鉋
\u924C # 鉌
\u924D # 鉍
\u924E # 鉎
\u924F # 鉏
\u9250 # 鉐
\u9251 # 鉑
\u9252 # 鉒
\u9253 # 鉓
\u9254 # 鉔
\u9255 # 鉕
\u9256 # 鉖
\u9257 # 鉗
\u9258 # 鉘
\u9259 # 鉙
\u925A # 鉚
\u925B # 鉛
\u925C # 鉜
\u925D # 鉝
\u925E # 鉞
\u925F # 鉟
\u9260 # 鉠
\u9261 # 鉡
\u9262 # 鉢
\u9263 # 鉣
\u9264 # 鉤
\u9265 # 鉥
\u9266 # 鉦
\u9267 # 鉧
\u9268 # 鉨
\u9269 # 鉩
\u926A # 鉪
\u926B # 鉫
\u926C # 鉬
\u926D # 鉭
\u926E # 鉮
\u926F # 鉯
\u9270 # 鉰
\u9271 # 鉱
\u9272 # 鉲
\u9273 # 鉳
\u9274 # 鉴
\u9275 # 鉵
\u9276 # 鉶
\u9277 # 鉷
\u9278 # 鉸
\u9279 # 鉹
\u927A # 鉺
\u927B # 鉻
\u927C # 鉼
\u927D # 鉽
\u927E # 鉾
\u927F # 鉿
\u9280 # 銀
\u9281 # 銁
\u9282 # 銂
\u9283 # 銃
\u9284 # 銄
\u9285 # 銅
\u9286 # 銆
\u9287 # 銇
\u9288 # 銈
\u9289 # 銉
\u928A # 銊
\u928B # 銋
\u928C # 銌
\u928D # 銍
\u928E # 銎
\u928F # 銏
\u9290 # 銐
\u9291 # 銑
\u9292 # 銒
\u9293 # 銓
\u9294 # 銔
\u9295 # 銕
\u9296 # 銖
\u9297 # 銗
\u9298 # 銘
\u9299 # 銙
\u929A # 銚
\u929B # 銛
\u929C # 銜
\u929D # 銝
\u929E # 銞
\u929F # 銟
\u92A0 # 銠
\u92A1 # 銡
\u92A2 # 銢
\u92A3 # 銣
\u92A4 # 銤
\u92A5 # 銥
\u92A6 # 銦
\u92A7 # 銧
\u92A8 # 銨
\u92A9 # 銩
\u92AA # 銪
\u92AB # 銫
\u92AC # 銬
\u92AD # 銭
\u92AE # 銮
\u92AF # 銯
\u92B0 # 銰
\u92B1 # 銱
\u92B2 # 銲
\u92B3 # 銳
\u92B4 # 銴
\u92B5 # 銵
\u92B6 # 銶
\u92B7 # 銷
\u92B8 # 銸
\u92B9 # 銹
\u92BA # 銺
\u92BB # 銻
\u92BC # 銼
\u92BD # 銽
\u92BE # 銾
\u92BF # 銿
\u92C0 # 鋀
\u92C1 # 鋁
\u92C2 # 鋂
\u92C3 # 鋃
\u92C4 # 鋄
\u92C5 # 鋅
\u92C6 # 鋆
\u92C7 # 鋇
\u92C8 # 鋈
\u92C9 # 鋉
\u92CA # 鋊
\u92CB # 鋋
\u92CC # 鋌
\u92CD # 鋍
\u92CE # 鋎
\u92CF # 鋏
\u92D0 # 鋐
\u92D1 # 鋑
\u92D2 # 鋒
\u92D3 # 鋓
\u92D4 # 鋔
\u92D5 # 鋕
\u92D6 # 鋖
\u92D7 # 鋗
\u92D8 # 鋘
\u92D9 # 鋙
\u92DA # 鋚
\u92DB # 鋛
\u92DC # 鋜
\u92DD # 鋝
\u92DE # 鋞
\u92DF # 鋟
\u92E0 # 鋠
\u92E1 # 鋡
\u92E2 # 鋢
\u92E3 # 鋣
\u92E4 # 鋤
\u92E5 # 鋥
\u92E6 # 鋦
\u92E7 # 鋧
\u92E8 # 鋨
\u92E9 # 鋩
\u92EA # 鋪
\u92EB # 鋫
\u92EC # 鋬
\u92ED # 鋭
\u92EE # 鋮
\u92EF # 鋯
\u92F0 # 鋰
\u92F1 # 鋱
\u92F2 # 鋲
\u92F3 # 鋳
\u92F4 # 鋴
\u92F5 # 鋵
\u92F6 # 鋶
\u92F7 # 鋷
\u92F8 # 鋸
\u92F9 # 鋹
\u92FA # 鋺
\u92FB # 鋻
\u92FC # 鋼
\u92FD # 鋽
\u92FE # 鋾
\u92FF # 鋿
\u9300 # 錀
\u9301 # 錁
\u9302 # 錂
\u9303 # 錃
\u9304 # 錄
\u9305 # 錅
\u9306 # 錆
\u9307 # 錇
\u9308 # 錈
\u9309 # 錉
\u930A # 錊
\u930B # 錋
\u930C # 錌
\u930D # 錍
\u930E # 錎
\u930F # 錏
\u9310 # 錐
\u9311 # 錑
\u9312 # 錒
\u9313 # 錓
\u9314 # 錔
\u9315 # 錕
\u9316 # 錖
\u9317 # 錗
\u9318 # 錘
\u9319 # 錙
\u931A # 錚
\u931B # 錛
\u931C # 錜
\u931D # 錝
\u931E # 錞
\u931F # 錟
\u9320 # 錠
\u9321 # 錡
\u9322 # 錢
\u9323 # 錣
\u9324 # 錤
\u9325 # 錥
\u9326 # 錦
\u9327 # 錧
\u9328 # 錨
\u9329 # 錩
\u932A # 錪
\u932B # 錫
\u932C # 錬
\u932D # 錭
\u932E # 錮
\u932F # 錯
\u9330 # 錰
\u9331 # 錱
\u9332 # 録
\u9333 # 錳
\u9334 # 錴
\u9335 # 錵
\u9336 # 錶
\u9337 # 錷
\u9338 # 錸
\u9339 # 錹
\u933A # 錺
\u933B # 錻
\u933C # 錼
\u933D # 錽
\u933E # 錾
\u933F # 錿
\u9340 # 鍀
\u9341 # 鍁
\u9342 # 鍂
\u9343 # 鍃
\u9344 # 鍄
\u9345 # 鍅
\u9346 # 鍆
\u9347 # 鍇
\u9348 # 鍈
\u9349 # 鍉
\u934A # 鍊
\u934B # 鍋
\u934C # 鍌
\u934D # 鍍
\u934E # 鍎
\u934F # 鍏
\u9350 # 鍐
\u9351 # 鍑
\u9352 # 鍒
\u9353 # 鍓
\u9354 # 鍔
\u9355 # 鍕
\u9356 # 鍖
\u9357 # 鍗
\u9358 # 鍘
\u9359 # 鍙
\u935A # 鍚
\u935B # 鍛
\u935C # 鍜
\u935D # 鍝
\u935E # 鍞
\u935F # 鍟
\u9360 # 鍠
\u9361 # 鍡
\u9362 # 鍢
\u9363 # 鍣
\u9364 # 鍤
\u9365 # 鍥
\u9366 # 鍦
\u9367 # 鍧
\u9368 # 鍨
\u9369 # 鍩
\u936A # 鍪
\u936B # 鍫
\u936C # 鍬
\u936D # 鍭
\u936E # 鍮
\u936F # 鍯
\u9370 # 鍰
\u9371 # 鍱
\u9372 # 鍲
\u9373 # 鍳
\u9374 # 鍴
\u9375 # 鍵
\u9376 # 鍶
\u9377 # 鍷
\u9378 # 鍸
\u9379 # 鍹
\u937A # 鍺
\u937B # 鍻
\u937C # 鍼
\u937D # 鍽
\u937E # 鍾
\u937F # 鍿
\u9380 # 鎀
\u9381 # 鎁
\u9382 # 鎂
\u9383 # 鎃
\u9384 # 鎄
\u9385 # 鎅
\u9386 # 鎆
\u9387 # 鎇
\u9388 # 鎈
\u9389 # 鎉
\u938A # 鎊
\u938B # 鎋
\u938C # 鎌
\u938D # 鎍
\u938E # 鎎
\u938F # 鎏
\u9390 # 鎐
\u9391 # 鎑
\u9392 # 鎒
\u9393 # 鎓
\u9394 # 鎔
\u9395 # 鎕
\u9396 # 鎖
\u9397 # 鎗
\u9398 # 鎘
\u9399 # 鎙
\u939A # 鎚
\u939B # 鎛
\u939C # 鎜
\u939D # 鎝
\u939E # 鎞
\u939F # 鎟
\u93A0 # 鎠
\u93A1 # 鎡
\u93A2 # 鎢
\u93A3 # 鎣
\u93A4 # 鎤
\u93A5 # 鎥
\u93A6 # 鎦
\u93A7 # 鎧
\u93A8 # 鎨
\u93A9 # 鎩
\u93AA # 鎪
\u93AB # 鎫
\u93AC # 鎬
\u93AD # 鎭
\u93AE # 鎮
\u93AF # 鎯
\u93B0 # 鎰
\u93B1 # 鎱
\u93B2 # 鎲
\u93B3 # 鎳
\u93B4 # 鎴
\u93B5 # 鎵
\u93B6 # 鎶
\u93B7 # 鎷
\u93B8 # 鎸
\u93B9 # 鎹
\u93BA # 鎺
\u93BB # 鎻
\u93BC # 鎼
\u93BD # 鎽
\u93BE # 鎾
\u93BF # 鎿
\u93C0 # 鏀
\u93C1 # 鏁
\u93C2 # 鏂
\u93C3 # 鏃
\u93C4 # 鏄
\u93C5 # 鏅
\u93C6 # 鏆
\u93C7 # 鏇
\u93C8 # 鏈
\u93C9 # 鏉
\u93CA # 鏊
\u93CB # 鏋
\u93CC # 鏌
\u93CD # 鏍
\u93CE # 鏎
\u93CF # 鏏
\u93D0 # 鏐
\u93D1 # 鏑
\u93D2 # 鏒
\u93D3 # 鏓
\u93D4 # 鏔
\u93D5 # 鏕
\u93D6 # 鏖
\u93D7 # 鏗
\u93D8 # 鏘
\u93D9 # 鏙
\u93DA # 鏚
\u93DB # 鏛
\u93DC # 鏜
\u93DD # 鏝
\u93DE # 鏞
\u93DF # 鏟
\u93E0 # 鏠
\u93E1 # 鏡
\u93E2 # 鏢
\u93E3 # 鏣
\u93E4 # 鏤
\u93E5 # 鏥
\u93E6 # 鏦
\u93E7 # 鏧
\u93E8 # 鏨
\u93E9 # 鏩
\u93EA # 鏪
\u93EB # 鏫
\u93EC # 鏬
\u93ED # 鏭
\u93EE # 鏮
\u93EF # 鏯
\u93F0 # 鏰
\u93F1 # 鏱
\u93F2 # 鏲
\u93F3 # 鏳
\u93F4 # 鏴
\u93F5 # 鏵
\u93F6 # 鏶
\u93F7 # 鏷
\u93F8 # 鏸
\u93F9 # 鏹
\u93FA # 鏺
\u93FB # 鏻
\u93FC # 鏼
\u93FD # 鏽
\u93FE # 鏾
\u93FF # 鏿
\u9400 # 鐀
\u9401 # 鐁
\u9402 # 鐂
\u9403 # 鐃
\u9404 # 鐄
\u9405 # 鐅
\u9406 # 鐆
\u9407 # 鐇
\u9408 # 鐈
\u9409 # 鐉
\u940A # 鐊
\u940B # 鐋
\u940C # 鐌
\u940D # 鐍
\u940E # 鐎
\u940F # 鐏
\u9410 # 鐐
\u9411 # 鐑
\u9412 # 鐒
\u9413 # 鐓
\u9414 # 鐔
\u9415 # 鐕
\u9416 # 鐖
\u9417 # 鐗
\u9418 # 鐘
\u9419 # 鐙
\u941A # 鐚
\u941B # 鐛
\u941C # 鐜
\u941D # 鐝
\u941E # 鐞
\u941F # 鐟
\u9420 # 鐠
\u9421 # 鐡
\u9422 # 鐢
\u9423 # 鐣
\u9424 # 鐤
\u9425 # 鐥
\u9426 # 鐦
\u9427 # 鐧
\u9428 # 鐨
\u9429 # 鐩
\u942A # 鐪
\u942B # 鐫
\u942C # 鐬
\u942D # 鐭
\u942E # 鐮
\u942F # 鐯
\u9430 # 鐰
\u9431 # 鐱
\u9432 # 鐲
\u9433 # 鐳
\u9434 # 鐴
\u9435 # 鐵
\u9436 # 鐶
\u9437 # 鐷
\u9438 # 鐸
\u9439 # 鐹
\u943A # 鐺
\u943B # 鐻
\u943C # 鐼
\u943D # 鐽
\u943E # 鐾
\u943F # 鐿
\u9440 # 鑀
\u9441 # 鑁
\u9442 # 鑂
\u9443 # 鑃
\u9444 # 鑄
\u9445 # 鑅
\u9446 # 鑆
\u9447 # 鑇
\u9448 # 鑈
\u9449 # 鑉
\u944A # 鑊
\u944B # 鑋
\u944C # 鑌
\u944D # 鑍
\u944E # 鑎
\u944F # 鑏
\u9450 # 鑐
\u9451 # 鑑
\u9452 # 鑒
\u9453 # 鑓
\u9454 # 鑔
\u9455 # 鑕
\u9456 # 鑖
\u9457 # 鑗
\u9458 # 鑘
\u9459 # 鑙
\u945A # 鑚
\u945B # 鑛
\u945C # 鑜
\u945D # 鑝
\u945E # 鑞
\u945F # 鑟
\u9460 # 鑠
\u9461 # 鑡
\u9462 # 鑢
\u9463 # 鑣
\u9464 # 鑤
\u9465 # 鑥
\u9466 # 鑦
\u9467 # 鑧
\u9468 # 鑨
\u9469 # 鑩
\u946A # 鑪
\u946B # 鑫
\u946C # 鑬
\u946D # 鑭
\u946E # 鑮
\u946F # 鑯
\u9470 # 鑰
\u9471 # 鑱
\u9472 # 鑲
\u9473 # 鑳
\u9474 # 鑴
\u9475 # 鑵
\u9476 # 鑶
\u9477 # 鑷
\u9478 # 鑸
\u9479 # 鑹
\u947A # 鑺
\u947B # 鑻
\u947C # 鑼
\u947D # 鑽
\u947E # 鑾
\u947F # 鑿
\u9480 # 钀
\u9481 # 钁
\u9482 # 钂
\u9483 # 钃
\u9484 # 钄
\u9485 # 钅
\u9486 # 钆
\u9487 # 钇
\u9488 # 针
\u9489 # 钉
\u948A # 钊
\u948B # 钋
\u948C # 钌
\u948D # 钍
\u948E # 钎
\u948F # 钏
\u9490 # 钐
\u9491 # 钑
\u9492 # 钒
\u9493 # 钓
\u9494 # 钔
\u9495 # 钕
\u9496 # 钖
\u9497 # 钗
\u9498 # 钘
\u9499 # 钙
\u949A # 钚
\u949B # 钛
\u949C # 钜
\u949D # 钝
\u949E # 钞
\u949F # 钟
\u94A0 # 钠
\u94A1 # 钡
\u94A2 # 钢
\u94A3 # 钣
\u94A4 # 钤
\u94A5 # 钥
\u94A6 # 钦
\u94A7 # 钧
\u94A8 # 钨
\u94A9 # 钩
\u94AA # 钪
\u94AB # 钫
\u94AC # 钬
\u94AD # 钭
\u94AE # 钮
\u94AF # 钯
\u94B0 # 钰
\u94B1 # 钱
\u94B2 # 钲
\u94B3 # 钳
\u94B4 # 钴
\u94B5 # 钵
\u94B6 # 钶
\u94B7 # 钷
\u94B8 # 钸
\u94B9 # 钹
\u94BA # 钺
\u94BB # 钻
\u94BC # 钼
\u94BD # 钽
\u94BE # 钾
\u94BF # 钿
\u94C0 # 铀
\u94C1 # 铁
\u94C2 # 铂
\u94C3 # 铃
\u94C4 # 铄
\u94C5 # 铅
\u94C6 # 铆
\u94C7 # 铇
\u94C8 # 铈
\u94C9 # 铉
\u94CA # 铊
\u94CB # 铋
\u94CC # 铌
\u94CD # 铍
\u94CE # 铎
\u94CF # 铏
\u94D0 # 铐
\u94D1 # 铑
\u94D2 # 铒
\u94D3 # 铓
\u94D4 # 铔
\u94D5 # 铕
\u94D6 # 铖
\u94D7 # 铗
\u94D8 # 铘
\u94D9 # 铙
\u94DA # 铚
\u94DB # 铛
\u94DC # 铜
\u94DD # 铝
\u94DE # 铞
\u94DF # 铟
\u94E0 # 铠
\u94E1 # 铡
\u94E2 # 铢
\u94E3 # 铣
\u94E4 # 铤
\u94E5 # 铥
\u94E6 # 铦
\u94E7 # 铧
\u94E8 # 铨
\u94E9 # 铩
\u94EA # 铪
\u94EB # 铫
\u94EC # 铬
\u94ED # 铭
\u94EE # 铮
\u94EF # 铯
\u94F0 # 铰
\u94F1 # 铱
\u94F2 # 铲
\u94F3 # 铳
\u94F4 # 铴
\u94F5 # 铵
\u94F6 # 银
\u94F7 # 铷
\u94F8 # 铸
\u94F9 # 铹
\u94FA # 铺
\u94FB # 铻
\u94FC # 铼
\u94FD # 铽
\u94FE # 链
\u94FF # 铿
\u9500 # 销
\u9501 # 锁
\u9502 # 锂
\u9503 # 锃
\u9504 # 锄
\u9505 # 锅
\u9506 # 锆
\u9507 # 锇
\u9508 # 锈
\u9509 # 锉
\u950A # 锊
\u950B # 锋
\u950C # 锌
\u950D # 锍
\u950E # 锎
\u950F # 锏
\u9510 # 锐
\u9511 # 锑
\u9512 # 锒
\u9513 # 锓
\u9514 # 锔
\u9515 # 锕
\u9516 # 锖
\u9517 # 锗
\u9518 # 锘
\u9519 # 错
\u951A # 锚
\u951B # 锛
\u951C # 锜
\u951D # 锝
\u951E # 锞
\u951F # 锟
\u9520 # 锠
\u9521 # 锡
\u9522 # 锢
\u9523 # 锣
\u9524 # 锤
\u9525 # 锥
\u9526 # 锦
\u9527 # 锧
\u9528 # 锨
\u9529 # 锩
\u952A # 锪
\u952B # 锫
\u952C # 锬
\u952D # 锭
\u952E # 键
\u952F # 锯
\u9530 # 锰
\u9531 # 锱
\u9532 # 锲
\u9533 # 锳
\u9534 # 锴
\u9535 # 锵
\u9536 # 锶
\u9537 # 锷
\u9538 # 锸
\u9539 # 锹
\u953A # 锺
\u953B # 锻
\u953C # 锼
\u953D # 锽
\u953E # 锾
\u953F # 锿
\u9540 # 镀
\u9541 # 镁
\u9542 # 镂
\u9543 # 镃
\u9544 # 镄
\u9545 # 镅
\u9546 # 镆
\u9547 # 镇
\u9548 # 镈
\u9549 # 镉
\u954A # 镊
\u954B # 镋
\u954C # 镌
\u954D # 镍
\u954E # 镎
\u954F # 镏
\u9550 # 镐
\u9551 # 镑
\u9552 # 镒
\u9553 # 镓
\u9554 # 镔
\u9555 # 镕
\u9556 # 镖
\u9557 # 镗
\u9558 # 镘
\u9559 # 镙
\u955A # 镚
\u955B # 镛
\u955C # 镜
\u955D # 镝
\u955E # 镞
\u955F # 镟
\u9560 # 镠
\u9561 # 镡
\u9562 # 镢
\u9563 # 镣
\u9564 # 镤
\u9565 # 镥
\u9566 # 镦
\u9567 # 镧
\u9568 # 镨
\u9569 # 镩
\u956A # 镪
\u956B # 镫
\u956C # 镬
\u956D # 镭
\u956E # 镮
\u956F # 镯
\u9570 # 镰
\u9571 # 镱
\u9572 # 镲
\u9573 # 镳
\u9574 # 镴
\u9575 # 镵
\u9576 # 镶
\u9577 # 長
\u9578 # 镸
\u9579 # 镹
\u957A # 镺
\u957B # 镻
\u957C # 镼
\u957D # 镽
\u957E # 镾
\u957F # 长
\u9580 # 門
\u9581 # 閁
\u9582 # 閂
\u9583 # 閃
\u9584 # 閄
\u9585 # 閅
\u9586 # 閆
\u9587 # 閇
\u9588 # 閈
\u9589 # 閉
\u958A # 閊
\u958B # 開
\u958C # 閌
\u958D # 閍
\u958E # 閎
\u958F # 閏
\u9590 # 閐
\u9591 # 閑
\u9592 # 閒
\u9593 # 間
\u9594 # 閔
\u9595 # 閕
\u9596 # 閖
\u9597 # 閗
\u9598 # 閘
\u9599 # 閙
\u959A # 閚
\u959B # 閛
\u959C # 閜
\u959D # 閝
\u959E # 閞
\u959F # 閟
\u95A0 # 閠
\u95A1 # 閡
\u95A2 # 関
\u95A3 # 閣
\u95A4 # 閤
\u95A5 # 閥
\u95A6 # 閦
\u95A7 # 閧
\u95A8 # 閨
\u95A9 # 閩
\u95AA # 閪
\u95AB # 閫
\u95AC # 閬
\u95AD # 閭
\u95AE # 閮
\u95AF # 閯
\u95B0 # 閰
\u95B1 # 閱
\u95B2 # 閲
\u95B3 # 閳
\u95B4 # 閴
\u95B5 # 閵
\u95B6 # 閶
\u95B7 # 閷
\u95B8 # 閸
\u95B9 # 閹
\u95BA # 閺
\u95BB # 閻
\u95BC # 閼
\u95BD # 閽
\u95BE # 閾
\u95BF # 閿
\u95C0 # 闀
\u95C1 # 闁
\u95C2 # 闂
\u95C3 # 闃
\u95C4 # 闄
\u95C5 # 闅
\u95C6 # 闆
\u95C7 # 闇
\u95C8 # 闈
\u95C9 # 闉
\u95CA # 闊
\u95CB # 闋
\u95CC # 闌
\u95CD # 闍
\u95CE # 闎
\u95CF # 闏
\u95D0 # 闐
\u95D1 # 闑
\u95D2 # 闒
\u95D3 # 闓
\u95D4 # 闔
\u95D5 # 闕
\u95D6 # 闖
\u95D7 # 闗
\u95D8 # 闘
\u95D9 # 闙
\u95DA # 闚
\u95DB # 闛
\u95DC # 關
\u95DD # 闝
\u95DE # 闞
\u95DF # 闟
\u95E0 # 闠
\u95E1 # 闡
\u95E2 # 闢
\u95E3 # 闣
\u95E4 # 闤
\u95E5 # 闥
\u95E6 # 闦
\u95E7 # 闧
\u95E8 # 门
\u95E9 # 闩
\u95EA # 闪
\u95EB # 闫
\u95EC # 闬
\u95ED # 闭
\u95EE # 问
\u95EF # 闯
\u95F0 # 闰
\u95F1 # 闱
\u95F2 # 闲
\u95F3 # 闳
\u95F4 # 间
\u95F5 # 闵
\u95F6 # 闶
\u95F7 # 闷
\u95F8 # 闸
\u95F9 # 闹
\u95FA # 闺
\u95FB # 闻
\u95FC # 闼
\u95FD # 闽
\u95FE # 闾
\u95FF # 闿
\u9600 # 阀
\u9601 # 阁
\u9602 # 阂
\u9603 # 阃
\u9604 # 阄
\u9605 # 阅
\u9606 # 阆
\u9607 # 阇
\u9608 # 阈
\u9609 # 阉
\u960A # 阊
\u960B # 阋
\u960C # 阌
\u960D # 阍
\u960E # 阎
\u960F # 阏
\u9610 # 阐
\u9611 # 阑
\u9612 # 阒
\u9613 # 阓
\u9614 # 阔
\u9615 # 阕
\u9616 # 阖
\u9617 # 阗
\u9618 # 阘
\u9619 # 阙
\u961A # 阚
\u961B # 阛
\u961C # 阜
\u961D # 阝
\u961E # 阞
\u961F # 队
\u9620 # 阠
\u9621 # 阡
\u9622 # 阢
\u9623 # 阣
\u9624 # 阤
\u9625 # 阥
\u9626 # 阦
\u9627 # 阧
\u9628 # 阨
\u9629 # 阩
\u962A # 阪
\u962B # 阫
\u962C # 阬
\u962D # 阭
\u962E # 阮
\u962F # 阯
\u9630 # 阰
\u9631 # 阱
\u9632 # 防
\u9633 # 阳
\u9634 # 阴
\u9635 # 阵
\u9636 # 阶
\u9637 # 阷
\u9638 # 阸
\u9639 # 阹
\u963A # 阺
\u963B # 阻
\u963C # 阼
\u963D # 阽
\u963E # 阾
\u963F # 阿
\u9640 # 陀
\u9641 # 陁
\u9642 # 陂
\u9643 # 陃
\u9644 # 附
\u9645 # 际
\u9646 # 陆
